  rate    deg    ecc
  0.62   2.00   0.00
  0.65   4.00   0.00
  0.72   8.00   0.00
  0.72  12.00   0.00
  0.78  16.00   0.00
  0.68  20.00   0.00
  0.82  24.00   0.00
  0.35   2.00  40.00
  0.53   4.00  40.00
  0.75   8.00  40.00
  0.75  12.00  40.00
  0.57  16.00  40.00
  0.68  20.00  40.00
  0.78  24.00  40.00
