  rate    deg    ecc
  0.60   2.00   0.00
  0.50   4.00   0.00
  0.72   8.00   0.00
  0.93  12.00   0.00
  0.90  16.00   0.00
  0.95  20.00   0.00
  0.90  24.00   0.00
  0.23   2.00  40.00
  0.45   4.00  40.00
  0.65   8.00  40.00
  0.82  12.00  40.00
  0.68  16.00  40.00
  0.85  20.00  40.00
  0.70  24.00  40.00
