  rate    deg    ecc
  0.60   2.00   0.00
  0.70   4.00   0.00
  0.78   8.00   0.00
  0.85  12.00   0.00
  0.65  16.00   0.00
  0.70  20.00   0.00
  0.80  24.00   0.00
  0.45   2.00  40.00
  0.53   4.00  40.00
  0.65   8.00  40.00
  0.80  12.00  40.00
  0.75  16.00  40.00
  0.82  20.00  40.00
  0.75  24.00  40.00
